Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila De Zaragoza,Colima,Chiapas,Chihuahua,Ciudad De México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán De Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz De Ignacio De La Llave,Yucatán,Zacatecas
2020-02-27,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-02-28,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-11,26,0,1,0,0,0,0,0,0,16,1,0,0,0,1,1,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-03-12,27,0,0,0,1,0,0,0,0,18,0,0,0,0,3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
2020-03-13,60,0,0,0,0,0,0,0,0,27,1,1,2,0,2,11,0,0,0,5,2,4,2,0,2,1,0,0,0,0,0,0,0
2020-03-14,48,1,0,0,0,0,1,0,1,24,1,0,0,0,5,2,0,0,0,6,0,2,1,4,0,0,0,0,0,0,0,0,0
2020-03-15,35,0,0,0,0,0,0,0,0,16,0,2,0,1,1,4,0,0,0,0,0,3,0,0,0,0,1,0,1,0,2,4,0
2020-03-16,60,0,1,0,0,1,1,0,0,19,0,2,1,0,12,6,0,0,0,6,0,2,0,3,1,1,0,0,1,0,0,2,1
2020-03-17,81,1,3,0,0,2,0,0,0,31,1,0,2,2,6,2,0,1,0,6,0,4,2,4,4,1,2,1,0,0,0,6,0
2020-03-18,97,2,3,1,0,2,0,1,1,36,1,1,1,0,17,2,1,1,1,9,0,3,2,1,1,0,1,2,0,0,7,0,0
2020-03-19,101,1,5,0,0,3,0,0,1,43,0,0,0,0,8,6,1,0,1,4,1,6,3,5,3,0,0,2,1,0,5,2,0
2020-03-20,96,2,5,0,0,4,0,0,4,23,0,4,0,3,5,10,2,0,0,12,0,5,1,2,3,1,1,2,1,0,1,4,1
2020-03-21,65,1,3,1,0,0,0,0,1,11,1,11,1,3,1,6,5,1,0,4,1,3,1,3,4,0,1,0,0,0,1,0,1
2020-03-22,46,1,2,0,0,0,0,0,1,13,0,1,0,0,3,3,0,0,0,4,1,1,0,4,1,1,0,0,1,0,0,8,1
2020-03-23,122,4,8,4,1,0,0,3,0,27,1,6,1,2,8,9,3,2,1,5,2,8,3,5,2,2,1,3,1,2,4,4,0
2020-03-24,154,0,9,2,0,4,1,0,1,30,1,1,0,0,7,24,3,3,3,5,1,15,4,7,0,5,4,10,1,2,2,8,1
2020-03-25,129,17,8,0,0,0,0,2,1,19,1,3,3,4,7,24,2,0,0,0,3,6,2,10,0,7,2,3,0,0,2,3,0
2020-03-26,158,4,11,2,1,2,0,0,2,38,0,6,4,4,6,27,3,0,0,1,3,14,1,9,1,9,1,5,0,0,4,0,0
2020-03-27,201,6,18,4,3,6,0,5,2,39,0,5,3,4,7,35,1,0,0,8,1,8,3,6,6,9,4,10,1,1,1,3,2
2020-03-28,139,5,7,4,0,4,0,1,2,48,0,4,3,0,2,15,2,1,1,2,1,13,0,7,0,5,3,1,1,0,1,5,1
2020-03-29,147,3,19,1,1,16,0,0,6,45,0,1,1,2,2,7,3,0,0,3,2,4,1,3,6,6,0,9,3,0,1,2,0
2020-03-30,273,4,26,13,0,18,1,1,3,62,3,4,3,6,7,41,0,2,0,5,2,13,2,20,3,11,1,9,3,1,2,7,0
2020-03-31,243,1,37,7,0,9,1,2,5,43,2,1,5,6,7,26,4,1,2,0,5,22,4,14,2,15,5,11,3,0,2,1,0
2020-04-01,275,0,52,5,1,17,2,4,5,62,1,1,3,3,2,29,2,3,0,1,1,13,4,19,0,13,1,8,5,4,7,7,0
2020-04-02,252,0,24,11,2,15,0,3,5,57,0,2,1,1,7,31,0,7,0,4,0,16,1,11,0,27,3,14,1,1,5,2,1
