Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila De Zaragoza,Colima,Chiapas,Chihuahua,Ciudad De México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán De Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz De Ignacio De La Llave,Yucatán,Zacatecas
2020-01-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-03-05,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-03-15,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2020-03-16,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2020-03-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2020-03-19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2020-03-21,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-03-22,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-23,14,0,1,0,0,2,0,0,0,4,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2020-03-24,13,0,0,1,0,1,0,0,0,4,0,1,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,30,1,4,1,0,0,0,1,1,4,0,0,0,0,3,7,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,2,0
2020-03-26,284,2,9,1,0,4,0,2,0,49,2,4,19,0,44,24,5,1,0,22,2,5,0,3,1,8,6,26,17,3,22,3,0
2020-03-27,231,2,10,3,0,19,0,0,1,35,2,2,13,0,40,25,5,0,1,10,2,3,1,1,0,5,2,29,0,2,16,1,1
2020-03-28,145,0,4,1,0,2,0,2,0,24,0,1,1,0,35,16,0,0,0,5,0,3,2,4,0,4,1,15,1,3,19,2,0
2020-03-29,109,1,5,2,0,8,0,0,0,21,0,4,3,0,12,13,1,0,0,2,0,3,1,0,0,2,1,14,1,4,11,0,0
2020-03-30,331,0,24,4,0,5,2,3,3,29,4,3,18,0,67,22,3,1,0,22,1,12,0,9,0,7,6,36,2,7,34,6,1
2020-03-31,325,4,10,4,0,18,2,3,2,36,1,14,8,0,57,30,2,5,2,29,2,9,2,4,0,10,6,32,7,2,19,4,1
2020-04-01,349,3,19,11,0,28,0,2,9,33,2,12,7,2,25,22,0,0,2,37,2,17,4,22,1,9,5,29,7,7,26,6,0
2020-04-02,326,1,13,8,0,64,0,2,5,50,13,5,5,1,18,30,2,2,1,15,0,19,0,15,3,2,6,14,2,3,20,6,1
2020-04-03,323,1,7,3,0,60,1,5,5,67,8,6,1,4,8,26,10,1,1,23,2,18,0,11,2,3,5,22,1,2,16,3,1
2020-04-04,122,0,14,1,0,20,1,3,3,18,0,3,2,0,2,21,2,0,0,3,1,3,0,8,1,3,1,7,3,0,0,1,1
2020-04-05,120,0,11,0,0,25,0,0,6,48,0,0,0,0,2,4,0,3,2,3,1,1,2,0,2,1,3,5,1,0,0,0,0
2020-04-06,283,1,28,13,0,48,1,0,6,58,2,4,1,0,13,26,3,1,1,19,1,5,1,9,1,16,4,2,2,1,12,4,0
2020-04-07,288,2,31,23,0,32,0,0,5,75,0,1,1,0,9,19,2,3,0,20,2,8,0,3,2,21,4,4,10,0,5,5,1
2020-04-08,363,0,41,9,0,50,2,0,8,83,2,5,1,1,4,38,7,3,5,21,6,22,4,6,1,13,8,5,4,3,7,4,0
2020-04-09,399,1,54,8,0,49,0,0,11,97,3,10,0,0,1,23,18,5,0,56,3,8,2,3,3,3,4,3,5,1,24,2,2
2020-04-10,701,0,52,17,1,46,0,2,16,85,4,2,2,1,5,32,7,1,1,338,1,6,6,11,1,9,7,5,13,5,20,2,3
2020-04-11,586,3,50,21,0,28,2,0,12,59,0,3,3,0,2,43,5,10,0,279,7,4,5,5,2,10,3,5,3,3,13,3,3
2020-04-12,538,2,30,7,1,29,4,0,8,76,1,4,2,7,12,32,7,4,5,228,3,7,2,9,7,6,6,17,6,3,6,6,1
2020-04-13,1423,7,95,44,16,118,4,2,23,283,8,18,15,8,49,144,40,9,5,226,11,54,16,17,17,34,17,14,27,8,48,36,10
2020-04-14,1898,12,156,42,12,114,3,6,34,427,15,29,13,10,53,211,37,21,7,332,6,42,6,15,31,68,29,30,21,13,58,35,10
2020-04-15,2145,25,89,32,15,79,7,17,34,563,16,106,28,7,112,215,49,19,5,289,8,57,14,25,24,69,31,28,46,19,64,38,15
2020-04-16,953,8,22,19,4,66,1,5,13,308,6,36,6,2,48,77,23,6,2,119,4,25,9,9,7,19,10,9,46,5,25,10,4
